23x	COSC	25.01	Intro to UI/UX Design I	Natalie Svoboda
23f	COSC	1	Introduction to Programming and Computation	Vasanta Lakshmi Kommineni
23f	COSC	1	Introduction to Programming and Computation	Vasanta Lakshmi Kommineni
23f	COSC	10	Problem Solving via Object-Oriented Programming	Timothy Pierson
23f	COSC	22	3D Digital Modeling	Lorie Loeb
23f	COSC	23.01	AR/VR Design	James Mahoney
23f	COSC	30	Discrete Mathematics in Computer Science	Prasad Jayanti
23f	COSC	30	Discrete Mathematics in Computer Science	Prasad Jayanti
23f	COSC	31	Algorithms	Amit Chakrabarti
23f	COSC	35	Data Stream Algorithms	Amit Chakrabarti
23f	COSC	50	Software Design and Implementation	Charles Palmer
23f	COSC	51	Computer Architecture	Sean Smith
23f	COSC	55	Security and Privacy	Timothy Pierson
23f	COSC	63.01	AR/VR Development	James Mahoney
23f	COSC	67	Introduction to Human-Computer Interaction	Temiloluwa Prioleau
23f	COSC	70	Foundations of Applied Computer Science	Bo Zhu
23f	COSC	74	Machine Learning and Statistical Data Analysis	Sarah Masud Preum
23f	COSC	74	Machine Learning and Statistical Data Analysis	Sarah Masud Preum
23f	COSC	76	Artificial Intelligence	Devin Balkcom
23f	COSC	89.21	Data Mining and Knowledge Discovery	Soroush Vosoughi
23f	COSC	98.01	Senior Design and Implementation Project I	Tim Tregubov
23f	COSC	98.01	Senior Design and Implementation Project I	Natalie Svoboda
24w	COSC	1	Introduction to Programming and Computation	Vasanta Lakshmi Kommineni
24w	COSC	1	Introduction to Programming and Computation	Vasanta Lakshmi Kommineni
24w	COSC	10	Problem Solving via Object-Oriented Programming	Timothy Pierson
24w	COSC	22	3D Digital Modeling	Lorie Loeb
24w	COSC	23.01	AR/VR Design	James Mahoney
24w	COSC	29	Digital Fabrication	TBD
24w	COSC	30	Discrete Mathematics in Computer Science	Amit Chakrabarti
24w	COSC	31	Algorithms	Deeparnab Chakrabarty
24w	COSC	31	Algorithms	Deeparnab Chakrabarty
24w	COSC	50	Software Design and Implementation	Temiloluwa Prioleau
24w	COSC	55	Security and Privacy	Charles Palmer
24w	COSC	58	Operating Systems	Sean Smith
24w	COSC	61	Database Systems	Timothy Pierson
24w	COSC	63.01	AR/VR Development	James Mahoney
24w	COSC	74	Machine Learning and Statistical Data Analysis	Souyoung Jin
24w	COSC	74	Machine Learning and Statistical Data Analysis	Soroush Vosoughi
24w	COSC	77	Computer Graphics	Bo Zhu
24w	COSC	83	Computer Vision	Adithya Pediredla
24w	COSC	89.23	Network Science and Complex Systems	Yujun Yan
24w	COSC	89.31	Deep learning generalization and robustness	Yaoqing Yang
24w	COSC	98.01	Senior Design and Implementation Project I	Tim Tregubov
24w	COSC	98.01	Senior Design and Implementation Project I	Natalie Svoboda
24w	COSC	98.02	Senior Design and Implementation Project II	Tim Tregubov
24w	COSC	98.02	Senior Design and Implementation Project II	Natalie Svoboda
24s	COSC	1	Introduction to Programming and Computation	Andrew Campbell
24s	COSC	1	Introduction to Programming and Computation	Andrew Campbell
24s	COSC	2	Programming for Interactive Audio-Visual Arts	Michael Casey
24s	COSC	10	Problem Solving via Object-Oriented Programming	Alberto Quattrini Li
24s	COSC	25.01	UI/UX Design	Lorie Loeb
24s	COSC	27	Projects in Digital Arts	James Mahoney
24s	COSC	29	3D Fabrication	TBD
24s	COSC	30	Discrete Mathematics in Computer Science	Hsien-Chih Chang
24s	COSC	31	Algorithms	Amit Chakrabarti
24s	COSC	50	Software Design and Implementation	Charles Palmer
24s	COSC	52	Full-Stack Web Development	Tim Tregubov
24s	COSC	57	Compilers	Vasanta Lakshmi Kommineni
24s	COSC	73	Computational Photography	Adithya Pediredla
24s	COSC	74	Machine Learning and Statistical Data Analysis	Yaoqing Yang
24s	COSC	78	Deep Learning	Yujun Yan
24s	COSC	98.02	Senior Design and Implementation Project II	Tim Tregubov
24s	COSC	98.02	Senior Design and Implementation Project II	Natalie Svoboda
