AAAS	10	22s	Intro African Amer Studies	10A	Trica Keaton	CI	SOC	N/A	N/A	NR Eligible
AAAS	10	23w	Intro African Amer Studies	12	Trica Keaton	CI	SOC	N/A	N/A	NR Eligible
AAAS	11	22f	Intro to African Studies	10	Robert Baum	NW	SOC	N/A	N/A	NR Eligible
AAAS	12	23w	Race&Slavery in US History	10	Darryl Barthe	W	SOC	HIST 016 01	N/A	N/A
AAAS	14	23w	PreColonial African History	2	Clifford Campbell	NW	SOC	HIST 05.01 01	N/A	NR Eligible
AAAS	19	22x	Africa and the World	11	Naaborko Sackeyfio-Lenoch	NW	INT or SOC	HIST 05.08 01	N/A	NR Eligible
AAAS	20.01	22f	Dartmouth Black Lives	9L	Julia Rabig, Darryl Barthe	CI	SOC	HIST 10.04 01	N/A	N/A
AAAS	20.15	23w	Black Feminist Thought	2	Misty De Berry	CI	SOC	WGSS 66.04 01	N/A	N/A
AAAS	21.05	22s	Carceral Geographies	11	Darius Scott	N/A	SOC	GEOG 027 01, WGSS 37.04 01	N/A	N/A
AAAS	21.1	22f	Race and Modernity	3A	Bailey Thomas	W	LIT	ENGL 53.43 01, PHIL 01.17 01	N/A	NR Eligible
AAAS	21.15	22s	Black Ethnicities in the US	10A	Darryl Barthe	W	SOC	HIST 09.06 01	N/A	N/A
AAAS	22.5	22f	Islam in America	11	Zahra Ayubi	W	TMV	REL 16.03 01	N/A	NR Eligible
AAAS	24	22s	Black Radical Tradition	10	Darryl Barthe	W	SOC	HIST 037 01	N/A	N/A
AAAS	24	23w	Black Radical Tradition	12	Darryl Barthe	W	SOC	HIST 037 01	N/A	N/A
AAAS	26	22f	Toni Morrison	2A	Patricia McKee	CI	INT or LIT	ENGL 63.02 01	N/A	N/A
AAAS	31.8	22s	Performing Histories & Us	2A	Monica Ndounou	CI	ART	FILM 47.33 01, THEA 10.84 01	N/A	N/A
AAAS	32.01	23w	Race & Gender in Amer Film	6B	Desiree Garcia	W	ART	FILM 47.24 01, LATS 025 01	N/A	N/A
AAAS	32.05	22s	Cinema of Black Protest	3B	Trica Keaton	W	SOC	FILM 42.16 01	N/A	NR Eligible
AAAS	32.05	23w	Cinema of Black Protest	3A	Trica Keaton	W	SOC	FILM 42.16 01	N/A	NR Eligible
AAAS	34	23w	Early Black American Lit	10	Michael Chaney	W	LIT	ENGL 030 01	N/A	NR Eligible
AAAS	35.01	22s	Black Elegies	6B	Kimberly Brown	CI	LIT	ENGL 73.03 01, WGSS 66.11 01	N/A	N/A
AAAS	36.5	22f	Rasta and Rastafari	10	Clifford Campbell	NW	N/A	N/A	N/A	N/A
AAAS	39	23w	Jazz History	2A	Taylor Bynum	N/A	ART	MUS 005 01	N/A	NR Eligible
AAAS	39.06	22f	Hip-Hop in the US	2A	Alison Martin	CI	ART	MUS 18.02 01	N/A	NR Eligible
AAAS	39.07	22f	Verzuz: Black Popular Music	10A	Alison Martin	CI	ART	MUS 18.03 01	N/A	NR Eligible
AAAS	42	22s	Women, Rlgn, Soc Chg in Afr	2A	Robert Baum	NW	SOC	REL 066 01, WGSS 44.03 01	N/A	N/A
AAAS	50	23w	Colnlsm,Dvlpmt&Env-Afr&Asia	11	Douglas Haynes	NW	INT or SOC	ASCL 54.07 01, ENVS 045 01, HIST 075 01	N/A	NR Eligible
AAAS	55.02	22s	The Idea of Africa	2A	Ayo Coly, Mark Williams	NW	ART	FILM 44.12 01	N/A	N/A
AAAS	60.5	23w	Racial Geographies	12	Clifford Campbell	CI	SOC	ANTH 50.28 01, GEOG 071 01	N/A	NR Eligible
AAAS	61	22f	Caribbean Hist 1898-Present	12	Clifford Campbell	NW	INT or SOC	HIST 92.01 01, LACS 059 01	N/A	NR Eligible
AAAS	61.05	22x	Black Agrarian Democracy	2A	Marvin Chochotte	NW	SOC	HIST 92.07 01, LACS 039 01	N/A	N/A
AAAS	62	22s	Nat'lism & Revolution Carib	10A	Marvin Chochotte	NW	INT or SOC	HIST 92.02 01, LACS 054 01	N/A	N/A
AAAS	65.06	22x	Jews and Race	2A	Eli Rosenblatt	W	INT or TMV	JWST 013 01, SOCY 49.25 01	N/A	N/A
AAAS	65.06	22f	Jews and Race	10A	Shaul Magid	W	INT or TMV	JWST 013 01, SOCY 49.25 01	N/A	N/A
AAAS	67.06	22s	AfricanDiasporaWomenWriters	3A	Kimberly Brown	CI	LIT	ENGL 53.47 01, WGSS 66.07 01	N/A	N/A
AAAS	67.5	22s	Black Consciousness &Femins	10A	Abigail Neely	CI	SOC	GEOG 072 01, WGSS 66.09 01	N/A	N/A
AAAS	80.1	22s	W.E.B. DuBois	2A	Esther Rosario	N/A	N/A	ENGL 53.40 01, PHIL 01.13 01	N/A	NR Eligible
AAAS	83.08	22s	The Global Caribbean	10A	Chelsey Kivland	NW	SOC	ANTH 033 01, LACS 038 01	N/A	N/A
AAAS	85.01	22s	SouthAfrican Lit in English	2A	Peter Orner	CI	LIT	ENGL 55.13 01	N/A	NR Eligible
AAAS	86.04	22f	Brazil's Shifting Society	9L	Daniel McDonald	NW	SOC	LACS 30.11 01	N/A	N/A
AAAS	87.07	22f	Globalizn & Afr Continent	FS	Ayo Coly	CI	INT or SOC	N/A	N/A	N/A
AAAS	87.08	22f	Slavery in Ghana & Africa	FS	Ayo Coly	NW	SOC	N/A	N/A	N/A
AAAS	87.09	23w	African Popular Culture	10A	Jesse Shipley	NW	SOC	ANTH 12.14 01	N/A	NR Eligible
AAAS	87.11	22f	Language in Africa	12	Laura McPherson	NW	SOC	LING 11.10 01	LRP	NR Eligible
AAAS	87.12	22s	Africa's Time?	10	Clifford Campbell	NW	SOC	ANTH 12.24 01	N/A	NR Eligible
AAAS	88.08	22s	Ethnography of Violence	2A	Chelsey Kivland	NW	INT or SOC	ANTH 028 01, WGSS 42.05 01	N/A	N/A
AAAS	88.08	22x	Ethnography of Violence	2A	Chelsey Kivland	NW	INT or SOC	ANTH 028 01, WGSS 42.05 01	N/A	NR Eligible
AAAS	88.12	22s	Diaspora Practice to Theory	12	Clifford Campbell	CI	LIT	ENGL 53.35 01	N/A	NR Eligible
AAAS	88.16	22x	Sovereignty, Race, Rights	2A	Jesse Shipley	NW	INT or SOC	ANTH 50.22 01	N/A	N/A
AAAS	88.17	22x	Filmmaking & Visual Culture	10A	Jesse Shipley	NW	SOC	ANTH 50.21 01	N/A	N/A
AAAS	89	22s	Readngs in Af/Af-Am Studies	ARR	Ayo Coly	N/A	N/A	N/A	N/A	N/A
AAAS	89	22x	Readngs in Af/Af-Am Studies	ARR	Ayo Coly	N/A	N/A	N/A	N/A	N/A
AAAS	89	22f	Readngs in Af/Af-Am Studies	ARR	Ayo Coly	N/A	N/A	N/A	N/A	N/A
AAAS	89	22f	Readngs in Af/Af-Am Studies	FS	Ayo Coly	N/A	N/A	N/A	N/A	N/A
AAAS	89	23w	Readngs in Af/Af-Am Studies	ARR	Michael Chaney	N/A	N/A	N/A	N/A	N/A
AAAS	90.12	23w	Aesthetics and Power	2A	Jesse Shipley	NW	INT or SOC	N/A	N/A	N/A
AAAS	97	22s	Senior Ind Research in AAAS	ARR	Ayo Coly	N/A	N/A	N/A	N/A	N/A
AAAS	97	22x	Senior Ind Research in AAAS	ARR	Ayo Coly	N/A	N/A	N/A	N/A	N/A
AAAS	97	22f	Senior Ind Research in AAAS	ARR	Ayo Coly	N/A	N/A	N/A	N/A	N/A
AAAS	97	23w	Senior Ind Research in AAAS	ARR	Michael Chaney	N/A	N/A	N/A	N/A	N/A
AAAS	98	22x	Honors Thesis	ARR	Ayo Coly	N/A	N/A	N/A	N/A	N/A
AAAS	98	22f	Honors Thesis	ARR	Ayo Coly	N/A	N/A	N/A	N/A	N/A
AAAS	98	23w	Honors Thesis	ARR	Michael Chaney	N/A	N/A	N/A	N/A	N/A
AAAS	99	22s	Honors Thesis	ARR	Ayo Coly	N/A	N/A	N/A	N/A	N/A
AAAS	99	22x	Honors Thesis	ARR	Ayo Coly	N/A	N/A	N/A	N/A	N/A
AAAS	99	22f	Honors Thesis	ARR	Ayo Coly	N/A	N/A	N/A	N/A	N/A
AAAS	99	23w	Honors Thesis	ARR	Michael Chaney	N/A	N/A	N/A	N/A	N/A
ANTH	3	22x	Intro-Cultural Anthropology	10A	Chelsey Kivland, Sienna Craig	NW	INT or SOC	N/A	N/A	NR Eligible
