AAAS	7.07	23s	Picturing African American	10A	Michael Chaney	N/A	N/A	N/A	N/A	N/A
AAAS	9	23s	Intro to Diaspora Studies	2	Clifford Campbell	CI	INT	N/A	N/A	N/A
AAAS	15	23s	Hist of Africa since 1800	12	Clifford Campbell	NW	SOC	HIST 066 01	N/A	NR Eligible
AAAS	35.02	23s	Disability and Madness	10A	Kianna Middleton	N/A	N/A	N/A	N/A	N/A
AAAS	39.06	23s	Hip-Hop in the US	10A	Alison Martin	CI	ART	MUS 18.02 01	N/A	NR Eligible
AAAS	51	23s	Masterpieces African Lit	12	Ayo Coly	NW	N/A	COLT 51.01 01, ENGL 53.16 01	N/A	NR Eligible
AAAS	60	23s	Slvry&Emanc LatinAmer&Carib	10A	Marvin Chochotte	NW	N/A	HIST 92.03 01, LACS 058 01	N/A	NR Eligible
AAAS	62	23s	Nat'lism & Revolution Carib	2A	Marvin Chochotte	NW	N/A	HIST 92.02 01	N/A	N/A
AAAS	80.06	23s	Civil Rights US in 20thC	11	Darryl Barthe	CI	SOC	HIST 022 01	N/A	N/A
AAAS	81.08	23s	Black Women Creative Archv	2A	Kianna Middleton	W	ART	WGSS 66.23 01	N/A	N/A
AAAS	89	23s	Readngs in Af/Af-Am Studies	ARR	Michael Chaney	N/A	N/A	N/A	N/A	N/A
AAAS	97	23s	Senior Ind Research in AAAS	ARR	Michael Chaney	N/A	N/A	N/A	N/A	N/A
AAAS	98	23s	Honors Thesis	ARR	Michael Chaney	N/A	N/A	N/A	N/A	N/A
AAAS	99	23s	Honors Thesis	ARR	Michael Chaney	N/A	N/A	N/A	N/A	N/A
ANTH	5	23s	Introduction to Archaeology	10	Jiajing Wang	N/A	SOC	N/A	N/A	NR Eligible
ANTH	7.05	23s	Animals and Humans	9L	Laura Ogden	N/A	N/A	N/A	N/A	N/A
ANTH	9	23s	Language & Culture	10A	Sabrina Billings	N/A	SOC	N/A	N/A	N/A
ANTH	14	23s	Death and Dying	2	Sergei Kan	N/A	N/A	N/A	N/A	NR Eligible
ANTH	40	23s	Human Functional Anatomy	2A	Nathaniel Dominy	N/A	SLA	N/A	N/A	NR Eligible
ANTH	44	23s	Language,Gender & Sexuality	2A	Sabrina Billings	N/A	SOC	WGSS 53.07 01	N/A	N/A
ANTH	50.17	23s	Rites of Passage	6B	Sienna Craig, Manish Mishra	CI	SOC	N/A	N/A	NR Eligible
ANTH	50.34	23s	Peoples of Oceania	12	Meredith Ferguson	NW	N/A	N/A	N/A	NR Eligible
ANTH	50.37	23s	Archaeologies of Religion	11	Darryl Wilkinson	NW	N/A	REL 20.07 01	N/A	N/A
ANTH	50.48	23s	Energy Justice	10A	Sarah Kelly	N/A	N/A	GEOG 40.04 01	N/A	N/A
ANTH	50.52	23s	Anthropology of Innovations	2A	Hiroko Kumaki	N/A	SOC	N/A	N/A	N/A
ANTH	50.53	23s	The Ancient Silk Road	3B	Zachary Silvia	NW	N/A	N/A	N/A	N/A
ANTH	50.54	23s	Issues in Paleoanthropology	2A	Jennifer Eyre	N/A	SLA	N/A	N/A	N/A
ANTH	50.55	23s	Beyond the Binary	9L	Luisa Rivera	CI	N/A	N/A	N/A	NR Eligible
ANTH	50.56	23s	Anthropology of Food	10	Charis Boke	CI	INT	N/A	N/A	NR Eligible
ANTH	55	23s	Anthropology of Global Hlth	11	Anne Sosin	N/A	N/A	N/A	N/A	NR Eligible
ANTH	64	23s	Evolution of Pregnancy	10A	Jennifer Eyre	N/A	N/A	N/A	N/A	NR Eligible
ANTH	73	23s	Main Currents in Anth	11	Laura Ogden	N/A	SOC	N/A	N/A	N/A
ANTH	74	23s	The Human Spectrum	10A	Nathaniel Dominy	NW	SOC	N/A	N/A	N/A
ANTH	85	23s	Reading Course	ARR	Jeremy DeSilva	N/A	N/A	N/A	N/A	N/A
ANTH	87	23s	Research Course	ARR	Jeremy DeSilva	N/A	N/A	N/A	N/A	N/A
ANTH	88	23s	Anthropology Honors	ARR	Jeremy DeSilva	N/A	N/A	N/A	N/A	N/A
ARAB	3	23s	First Yr Courses in Arabic	9S	Jamila Chahboun	N/A	N/A	N/A	N/A	N/A
ARAB	3	23s	First Yr Courses in Arabic	9S	El Mostafa Ouajjani	N/A	N/A	N/A	N/A	N/A
ARAB	23	23s	Intermediate Arabic	10	El Mostafa Ouajjani	NW	N/A	N/A	LADV	N/A
ARAB	34	23s	Media Arabic	10	Jamila Chahboun	NW	LIT	N/A	LADV	NR Eligible
ARAB	43.01	23s	Adv Arab Con & Reading	ARR	Hussein Kadhim	NW	LIT	N/A	N/A	NR Eligible
ARTH	4	23s	Intro to World Architecture	11	Nicola Camerlenghi, Adedoyin Teriba	N/A	ART	N/A	N/A	N/A
ARTH	7.02	23s	Paris in the 19th Century	2	Kristin O'Rourke	N/A	N/A	N/A	N/A	N/A
ARTH	20.04	23s	Faith and Empire	2A	N/A	W	ART	N/A	N/A	N/A
ARTH	26.01	23s	FSP: History of Art in Rome	FS	Ada Cohen	N/A	ART	N/A	N/A	N/A
ARTH	26.02	23s	FSP: Early Modern Arch Rome	FS	Ada Cohen	W	ART	N/A	N/A	N/A
ARTH	26.03	23s	Language & Culture of Rome	FS	N/A	N/A	ART	N/A	N/A	N/A
